Index,Category,Product Name,Rate
1,Tablets (Goli),Noorain Shifa,390
2,Tablets (Goli),Ajmaali Goliyan,430
3,Tablets (Goli),Jawani Goliyan,280
4,Tablets (Goli),Amreen Goliyan,280
5,Tablets (Goli),Pet Weight Goliyan,390
6,Tablets (Goli),Qabz Kusha Goliyan,250
7,Tablets (Goli),Tauqi Goliyan,700
8,Tablets (Goli),Sailano Goliyan,280
9,Tablets (Goli),Akseer-us-Sahad,450
10,Tablets (Goli),New Taqati,780
11,Tablets (Goli),Purani Taqati,2600
12,Tablets (Goli),Zarghwai Nuqrai,2600
13,Tablets (Goli),Roshan Dimagh,440
14,Tablets (Goli),Nashati Jadeed,700
15,Tablets (Goli),Weki Antibiotic,280
16,Powder (Sufoof),Bistar Peshab Shifa,280
17,Powder (Sufoof),Paichish Shifa,280
18,Powder (Sufoof),Patta Pathri Shifa,240
19,Powder (Sufoof),Janwar Shifa,330
20,Powder (Sufoof),Rohani Phakki,100
21,Powder (Sufoof),Khandani Raaz Shifa,300
22,Powder (Sufoof),Khoon Rok Shifa,240
23,Powder (Sufoof),Khoon Safa,240
24,Powder (Sufoof),Naujawan Shifa,270
25,Powder (Sufoof),Family Shifa,25
26,Powder (Sufoof),Saat Pakham Shifa,280
27,Powder (Sufoof),Gurday Fail Shifa,250
28,Powder (Sufoof),Chehra Shifa,380
29,Powder (Sufoof),Chot Shifa,200
30,Powder (Sufoof),Johar Shifai Powder,400
31,Powder (Sufoof),Be-Aulaadi Powder,650
32,Powder (Sufoof),Thandak Powder,220
33,Powder (Sufoof),Anabi Qehwa,300
34,Powder (Sufoof),Abqari Qehwa,25
35,Powder (Sufoof),Josh Joshanda,25
36,Powder (Sufoof),Bakhshi Qehwa,240
37,Powder (Sufoof),Anmol Hair Powder,200
38,Powder (Sufoof),Sufoof Thandak,300
39,Powder (Sufoof),Craving Bean,50
40,Powder (Sufoof),Sacchi Dawa (For Childlessness),220
41,Powder (Sufoof),Golden Miswak Manjan,160
42,Powder (Sufoof),Gurdi,380
43,Powder (Sufoof),Sachcha Manjan,170
44,Powder (Sufoof),Moti Manjan,220
45,Powder (Sufoof),Tiryaq,220
46,Powder (Sufoof),Chhilka Ispaghol,790
47,Powder (Sufoof),Chhilka Ispaghol (4g),35
48,Powder (Sufoof),Chamak Rakh (For Washing Utensils),160
49,Powder (Sufoof),Hazim Khaas,300
